Fabricante,Descripción,Datos,Precio_£,Ciudad
Mazda Mazda2,1.5 SKYACTIV-G Sport Nav (115 ps),"80,451 miles
2015 reg
Manual
Petrol","£6,340",Nationwide delivery available
Peugeot 108,1.0L ACTIVE 5D 72 BHP,"44,717 miles
2019 reg
Manual
Petrol","£6,349",Stevenage
BMW 5 Series Gran Turismo,3.0L 530D SE GRAN TURISMO 5d AUTO 242 BHP,"115,523 miles
2010 reg
Automatic
Diesel","£6,350",Watford
Citroen C1,Flair,"44,623 miles
2017 reg
Manual
Petrol","£6,374",Cleveland
Hyundai i40,1.7 CRDI S BLUE DRIVE 5d 114 BHP,"74,477 miles
2015 reg
Manual
Diesel","£6,400",Peterborough
Mazda Mazda2,1.5 SE 5d 74 BHP,"72,012 miles
2017 reg
Manual
Petrol","£6,400",Peterborough
Vauxhall Astra,1.0 DESIGN ECOTEC S/S 5d 104 BHP,"92,544 miles
2019 reg
Manual
Petrol","£6,400",Peterborough
Vauxhall Zafira Tourer,1.4i Turbo Exclusiv (140 ps),"61,876 miles
2015 reg
Manual
Petrol","£6,430",Nationwide delivery available
Fiat 500,Pop,"36,412 miles
2017 reg
Manual
Petrol","£6,450",Doncaster
Nissan Juke,1.5 dCi N-Connecta (110 ps),"79,183 miles
2016 reg
Manual
Diesel","£6,489",Nationwide delivery available
Vauxhall Astra,1.6 DESIGN CDTI 5d 108 BHP,"65,861 miles
2016 reg
Manual
Diesel","£6,490",Peterborough
Vauxhall Corsa,Black Edition,"59,421 miles
2018 reg
Manual
Petrol","£6,490",Wolverhampton
Hyundai i10,i10 1.2 Premium Hatchback 5dr Petrol Manual Euro 5 (87 ps),"56,120 miles
2015 reg
Manual
Petrol","£6,495",Hemel
Vauxhall Corsa,Energy,"58,771 miles
2017 reg
Manual
Petrol","£6,495",Cleveland
SEAT Ibiza,SE,"73,921 miles
2017 reg
Manual
Petrol","£6,495",Doncaster
Nissan Qashqai,N-Tec,"68,429 miles
2011 reg
Automatic
Diesel","£6,495",Sheffield
Nissan Micra,Vibe,"24,155 miles
2016 reg
Manual
Petrol","£6,495",Sheffield
Skoda Citigo,1.0 MPI Colour Edition,"41,679 miles
2017 reg
Manual
Petrol","£6,498+ £159 admin fee",Birmingham
Honda Jazz,S,"34,000 miles
2013 reg
Manual
Petrol","£6,499",Sheffield
Suzuki Swift,SZ4,"36,824 miles
2014 reg
Manual
Petrol","£6,500",Newcastle
Nissan Leaf,0L ACENTA 5d AUTO 109 BHP,"43,636 miles
2017 reg
Automatic
Electric","£6,500",Watford
Vauxhall Mokka,Mokka 1.4T SE SUV 5dr Petrol Manual 2WD Euro 5 (s/s) (140 ps),"60,521 miles
2014 reg
Manual
Petrol","£6,500",Reading
Vauxhall ADAM,ADAM 1.2i GLAM Hatchback 3dr Petrol Manual Euro 6 (70 ps),"49,289 miles
2015 reg
Manual
Petrol","£6,500",Reading
Nissan Juke,N-CONNECTA DIG-T,"80,368 miles
2017 reg
Manual
Petrol","£6,500",Peterborough
Fiat Panda,Easy,"25,000 miles
2016 reg
Manual
Petrol","£6,568",Sheffield
Ford Focus,1.0T EcoBoost Zetec Euro 6 (s/s) 5dr,"43,182 miles
2014 reg
Manual
Petrol","£6,600",Watford
Kia Picanto,1.2L CHILLI ISG 3d 84 BHP,"40,788 miles
2016 reg
Manual
Petrol","£6,650",Watford
Ssangyong Tivoli,EX,"17,899 miles
2015 reg
Manual
Petrol","£6,696",Stoke on Trent
Peugeot 208,S/S SIGNATURE,"50,209 miles
2018 reg
Manual
Petrol","£6,699",Stevenage
Renault Megane,1.5 DYNAMIQUE S NAV DCI 5d 110 BHP,"92,717 miles
2017 reg
Manual
Diesel","£6,700",Peterborough
Volkswagen Golf,SE Nav,"111,559 miles
2017 reg
Manual
Diesel","£6,700",Peterborough
Audi A4,2.0 TDI ULTRA SE TECHNIK 4d 161 BHP,"97,500 miles
2014 reg
Manual
Diesel","£6,700",Peterborough
Vauxhall Astra,1.6 TECH LINE CDTI 5d 108 BHP,"74,172 miles
2016 reg
Manual
Diesel","£6,700",Peterborough
Vauxhall Corsa,1.4 SE ECOFLEX 3d 89 BHP,"42,053 miles
2016 reg
Manual
Petrol","£6,700",Peterborough
DS DS 3,PURETECH CHIC S/S,"45,969 miles
2016 reg
Manual
Petrol","£6,700",Peterborough
Nissan Micra,1.5 DCI ACENTA 5d 90 BHP,"81,907 miles
2018 reg
Manual
Diesel","£6,700",Peterborough
